,participant,GT,GS
2,60106245db5b643e9ca0542f,False,True
3,6010ea6bdb5b643e9ca05461,False,False
4,60112d18db5b643e9ca05469,True,True
5,601146dadb5b643e9ca054e5,True,False
6,60114dc2db5b643e9ca054ed,False,True
7,6011a3fedb5b643e9ca06099,False,False
8,601275c1db5b643e9ca060b4,True,True
9,60129cbddb5b643e9ca06877,True,False
10,6014329e8a8fb97c0541f5d3,False,True
11,601587f68a8fb97c0541f607,False,False
12,6017fa038a8fb97c05420409,True,True
14,60185e4ef8a80c12afba1014,False,True
18,6018f3a9f8a80c12afba217e,False,True
19,6018f3b6f8a80c12afba2184,False,False
20,6018f3bcf8a80c12afba2189,True,True
21,6018f410f8a80c12afba2194,True,False
22,6018f44df8a80c12afba219c,False,True
23,6018f495f8a80c12afba21aa,False,False
24,6018f4bbf8a80c12afba21b3,True,True
25,6018f4c5f8a80c12afba21b9,True,False
26,6018f517f8a80c12afba21c8,False,True
27,6018f56af8a80c12afba21e0,False,False
28,6018f5a0f8a80c12afba21ec,True,True
29,6018f5fef8a80c12afba21ff,True,False
30,6018f5fff8a80c12afba2201,False,True
31,6018f660f8a80c12afba2217,False,False
32,6018f697f8a80c12afba2235,True,True
33,6018f6a1f8a80c12afba223b,True,False
34,6018f6ebf8a80c12afba227b,False,True
35,6018f6f3f8a80c12afba2286,False,False
36,6018f723f8a80c12afba2369,True,True
37,6018f733f8a80c12afba2374,True,False
38,6018f7b8f8a80c12afba2403,False,True
39,6018f7bbf8a80c12afba2406,False,False
40,6018f83cf8a80c12afba24a8,True,True
41,6018f8bbf8a80c12afba253f,True,False
42,6018f8d3f8a80c12afba255c,False,True
43,6018f9d4f8a80c12afba2793,False,False
44,6018fb2ef8a80c12afba2993,True,True
45,6018fb66f8a80c12afba2a0e,True,False
46,6018fd16f8a80c12afba2cd5,False,True
47,6018fd31f8a80c12afba2cf5,False,False
48,6018fd6ef8a80c12afba2d4f,True,True
49,6018fe8ff8a80c12afba2fa8,True,False
50,6019000af8a80c12afba322f,False,True
51,60190285f8a80c12afba38a3,False,False
52,60190373f8a80c12afba3a90,True,True
53,60190c05f8a80c12afba4a8f,True,False
54,6019105cf8a80c12afba53d7,False,True
55,6019112df8a80c12afba553a,False,False
56,60191b2af8a80c12afba6602,True,True
57,60191b55f8a80c12afba6660,True,False
58,601922c4f8a80c12afba7d7b,False,True
59,6019238ff8a80c12afba7fc0,False,False
60,6019249ff8a80c12afba840b,True,True
61,601924caf8a80c12afba853f,True,False
62,601924e3f8a80c12afba85d6,False,True
63,601924edf8a80c12afba861d,False,False
64,601924f2f8a80c12afba8654,True,True
65,60192506f8a80c12afba8709,True,False
66,6019252af8a80c12afba8755,False,True
67,60192531f8a80c12afba8766,False,False
68,60192582f8a80c12afba892c,True,True
69,601925c8f8a80c12afba89d6,True,False
70,601925def8a80c12afba8a6a,False,True
71,601925eff8a80c12afba8a91,False,False
72,60192601f8a80c12afba8aa9,True,True
73,60192601f8a80c12afba8aaa,True,True
74,60192610f8a80c12afba8ad7,False,True
75,60192666f8a80c12afba8c81,False,False
76,6019268bf8a80c12afba8d22,True,True
77,601926a6f8a80c12afba8dda,True,False
80,601926c6f8a80c12afba8eaa,True,True
81,6019275ff8a80c12afba906a,True,False
82,60192799f8a80c12afba9199,False,True
83,601927c8f8a80c12afba9261,False,False
84,601927cbf8a80c12afba9277,True,True
85,601927d2f8a80c12afba9286,True,False
86,601927dbf8a80c12afba9299,False,True
87,6019281bf8a80c12afba93fa,False,False
88,60192845f8a80c12afba9525,True,True
89,60192885f8a80c12afba9672,True,False
90,601928dff8a80c12afba988d,False,True
91,601928eef8a80c12afba98e0,False,False
92,60192904f8a80c12afba994e,True,True
93,6019290ff8a80c12afba996f,True,False
94,6019291bf8a80c12afba99cf,False,True
95,60192a03f8a80c12afbaa059,False,False
96,60192a0cf8a80c12afbaa0b1,True,True
97,60192a78f8a80c12afbaa48e,True,False
98,60193056f8a80c12afbad1c3,False,True
99,60193331f8a80c12afbaedd5,False,False
100,601933bcf8a80c12afbaf2c7,True,True
101,60193a1cf8a80c12afbb4284,True,False
102,60193afaf8a80c12afbb512d,False,True
103,60193c10f8a80c12afbb6286,False,False
104,60193eb6f8a80c12afbb727e,True,True
105,60194527f8a80c12afbba1bf,True,False
106,6019525cf8a80c12afbbe535,False,True
107,60195993f8a80c12afbc0b90,False,False
108,60195e7df8a80c12afbc1d74,True,True
109,601961ddf8a80c12afbc2b4d,True,False
110,601963bff8a80c12afbc316c,False,True
111,60196af9f8a80c12afbc4bac,False,False
112,60197a63f8a80c12afbc88ad,True,True
113,60197c36f8a80c12afbc9093,True,False
114,60198289f8a80c12afbcab0c,False,True
115,6019a87df8a80c12afbd4ecd,False,False
116,601a16cef8a80c12afbd712f,True,True
117,601a28e1f8a80c12afbd8c2d,True,False
118,601a2f32f8a80c12afbd93a0,False,True
119,601a3a2ef8a80c12afbda079,False,False
120,601a9023f8a80c12afbdcedd,True,True
121,601a9107f8a80c12afbdcee7,True,False
122,601a996df8a80c12afbdd1cf,False,True
123,601a9ad7f8a80c12afbdd249,False,False
124,601a9cdbf8a80c12afbdd286,True,True
125,601a9ebcf8a80c12afbdd295,True,False
126,601aab34f8a80c12afbdd684,False,True
127,601ab97df8a80c12afbddd65,False,False
128,601ad24ff8a80c12afbdde77,True,True
129,601b75cbf8a80c12afbde5a5,True,False
130,601b76e2f8a80c12afbde5be,False,True
131,601b8f72f8a80c12afbde80a,False,False
132,601ba4acf8a80c12afbdee12,True,True
133,601beeb4f8a80c12afbe12a8,True,False
134,601beec0f8a80c12afbe12ac,False,True
135,601bfddcf8a80c12afbe1762,False,False
136,601c0004f8a80c12afbe1803,True,True
137,601c0011f8a80c12afbe180d,True,False
138,601c0016f8a80c12afbe1810,False,True
139,601c0028f8a80c12afbe1819,False,False
140,601c0036f8a80c12afbe1824,True,True
141,601c003af8a80c12afbe1828,True,False
142,601c0052f8a80c12afbe1858,False,True
143,601c005ef8a80c12afbe185c,False,False
144,601c005ff8a80c12afbe185f,True,True
145,601c0063f8a80c12afbe1862,True,False
146,601c009bf8a80c12afbe1896,False,True
147,601c00b3f8a80c12afbe18a3,False,False
148,601c00c4f8a80c12afbe18aa,True,True
149,601c00e0f8a80c12afbe18d7,True,False
150,601c0102f8a80c12afbe18ed,False,True
151,601c0119f8a80c12afbe1910,False,False
152,601c011ff8a80c12afbe1926,True,True
153,601c0122f8a80c12afbe192a,True,False
154,601c0125f8a80c12afbe192d,False,True
155,601c0130f8a80c12afbe193e,False,False
156,601c013cf8a80c12afbe1953,True,True
157,601c0143f8a80c12afbe1959,True,False
158,601c014cf8a80c12afbe1961,False,True
159,601c014ef8a80c12afbe1964,False,False
160,601c0153f8a80c12afbe196c,True,True
161,601c0172f8a80c12afbe19d1,True,False
162,601c0175f8a80c12afbe19d7,False,True
163,601c018df8a80c12afbe19f8,False,False
164,601c018ef8a80c12afbe19fe,True,True
165,601c019af8a80c12afbe1a13,True,False
166,601c019bf8a80c12afbe1a15,False,True
167,601c01a9f8a80c12afbe1a26,False,False
168,601c0246f8a80c12afbe1b2d,True,True
169,601c025ef8a80c12afbe1b80,True,False
170,601c0266f8a80c12afbe1b97,False,True
171,601c0284f8a80c12afbe1c4d,False,False
172,601c02a8f8a80c12afbe1c99,True,True
173,601c02c4f8a80c12afbe1d5d,True,False
174,601c030cf8a80c12afbe1e3f,False,True
175,601c2b20f8a80c12afbefe74,False,False
176,601c6e7bf8a80c12afbf2ff5,True,True
177,601d2755a6af0b0a8bd18def,True,False
178,601d4127a6af0b0a8bd19920,False,True
179,601d6caaa6af0b0a8bd1badb,False,False
180,601f3546a6af0b0a8bd1e5fd,True,True
181,60200e96a6af0b0a8bd1f1ec,True,False
182,6020b3d4a6af0b0a8bd2254c,False,True
183,6021968ea6af0b0a8bd27418,False,False
184,602220c2a6af0b0a8bd28b75,True,True
185,60237970a6af0b0a8bd2b659,True,False
186,602518e9a6af0b0a8bd2c4e4,False,True
187,60253716a6af0b0a8bd2c579,False,False
188,60257b2fa6af0b0a8bd2c85c,True,True
189,6027df88a6af0b0a8bd31fcc,True,False
190,602956fda6af0b0a8bd34b4d,False,True
191,602a3ccea6af0b0a8bd3716d,False,False
192,602ada93a6af0b0a8bd3a878,True,True
193,602e3d9ba6af0b0a8bd3b399,True,False
194,602e9b3aa6af0b0a8bd3b578,False,True
195,602eaa28a6af0b0a8bd3b5e2,False,False
196,602ee3d9a6af0b0a8bd3b607,True,True
197,602f0596a6af0b0a8bd3b61b,True,False
198,602f18faa6af0b0a8bd3b6f5,False,True
199,602f7b89a6af0b0a8bd3bddd,False,False
200,602f8914a6af0b0a8bd3c671,True,True
201,602fae39a6af0b0a8bd3dbfc,True,False
202,602faf5ba6af0b0a8bd3dc17,False,True
203,60308698a6af0b0a8bd3f58d,False,False
