,participant,gender,reason,language,english,excel,visual,r,python,timestamp
2,60106245db5b643e9ca0542f,male,partofcourse,python,5,4,2,2,2,2021-01-26T18:42:42.522Z
3,6010ea6bdb5b643e9ca05461,male,curiosity,r,4,4,1,1,3,2021-01-27T04:23:21.367Z
4,60112d18db5b643e9ca05469,female,jobsearch,python,4,4,1,1,0,2021-01-27T09:10:11.504Z
5,601146dadb5b643e9ca054e5,female,jobsearch,python,5,2,3,0,0,2021-01-27T10:58:45.518Z
6,60114dc2db5b643e9ca054ed,male,project,python,5,3,3,0,2,2021-01-27T11:26:35.35Z
7,6011a3fedb5b643e9ca06099,female,jobsearch,python,5,2,4,0,0,2021-01-27T17:37:10.227Z
8,601275c1db5b643e9ca060b4,male,research,python,4,5,3,3,5,2021-01-28T08:31:14.826Z
9,60129cbddb5b643e9ca06877,female,partofcourse,python,3,2,3,1,0,2021-01-28T11:16:58.287Z
10,6014329e8a8fb97c0541f5d3,female,jobsearch,python,4,4,1,0,0,2021-01-29T16:07:54.68Z
11,601587f68a8fb97c0541f607,male,curiosity,python,2,3,4,2,4,2021-01-30T16:29:32.086Z
13,60185e4ef8a80c12afba1014,female,curiosity,python,4,3,3,2,2,2021-02-01T20:03:57.598Z
16,6018f3bcf8a80c12afba2189,male,partofcourse,python,1,4,3,0,3,2021-02-02T06:41:44.68Z
17,6018f3b6f8a80c12afba2184,male,partofcourse,python,3,5,4,1,5,2021-02-02T06:43:02.739Z
18,6018f495f8a80c12afba21aa,female,partofcourse,python,2,4,4,1,3,2021-02-02T06:45:34.663Z
19,6018f410f8a80c12afba2194,male,partofcourse,python,1,4,5,0,3,2021-02-02T06:45:42.02Z
20,6018f3a9f8a80c12afba217e,male,research,python,2,3,3,2,3,2021-02-02T06:45:52.947Z
21,6018f44df8a80c12afba219c,male,partofcourse,python,0,4,3,0,3,2021-02-02T06:46:50.157Z
22,6018f4c5f8a80c12afba21b9,male,partofcourse,python,3,4,3,4,4,2021-02-02T06:47:25.316Z
23,6018f517f8a80c12afba21c8,male,partofcourse,python,3,3,2,1,2,2021-02-02T06:47:32.382Z
24,6018f4bbf8a80c12afba21b3,male,partofcourse,python,2,3,3,1,2,2021-02-02T06:48:15.598Z
25,6018f56af8a80c12afba21e0,female,partofcourse,python,4,3,4,0,1,2021-02-02T06:48:42.815Z
26,6018f5fff8a80c12afba2201,female,partofcourse,python,2,2,2,1,2,2021-02-02T06:51:31.833Z
27,6018f660f8a80c12afba2217,male,partofcourse,python,3,2,2,2,2,2021-02-02T06:52:42.338Z
28,6018f5fef8a80c12afba21ff,female,partofcourse,python,4,4,5,0,4,2021-02-02T06:54:53.203Z
29,6018f6a1f8a80c12afba223b,male,partofcourse,python,2,2,5,1,2,2021-02-02T06:56:31.807Z
30,6018f723f8a80c12afba2369,male,partofcourse,python,2,4,5,0,2,2021-02-02T06:57:22.821Z
31,6018f733f8a80c12afba2374,male,partofcourse,python,0,3,0,0,2,2021-02-02T06:57:27.715Z
32,6018f7bbf8a80c12afba2406,female,partofcourse,python,2,2,2,2,1,2021-02-02T06:59:05.599Z
33,6018f697f8a80c12afba2235,male,ebook,python,2,4,2,0,3,2021-02-02T06:59:49.114Z
34,6018f7b8f8a80c12afba2403,male,research,python,2,3,5,0,2,2021-02-02T06:59:58.574Z
35,6018f6f3f8a80c12afba2286,male,research,python,2,2,3,2,4,2021-02-02T07:00:17.069Z
36,6018f6ebf8a80c12afba227b,female,partofcourse,python,1,2,3,1,2,2021-02-02T07:01:44.828Z
37,6018f5a0f8a80c12afba21ec,male,partofcourse,python,3,3,2,0,3,2021-02-02T07:02:11.998Z
38,6018f8bbf8a80c12afba253f,male,partofcourse,python,4,4,0,1,3,2021-02-02T07:05:34.098Z
39,6018f9d4f8a80c12afba2793,male,partofcourse,python,3,4,4,0,3,2021-02-02T07:08:39.069Z
40,6018fb2ef8a80c12afba2993,male,project,python,3,2,2,2,2,2021-02-02T07:14:49.343Z
41,6018fb66f8a80c12afba2a0e,male,research,python,2,2,3,3,1,2021-02-02T07:18:22.072Z
42,6018fd16f8a80c12afba2cd5,female,partofcourse,python,4,3,2,1,2,2021-02-02T07:22:18.133Z
43,6018fd6ef8a80c12afba2d4f,male,partofcourse,python,5,2,3,1,3,2021-02-02T07:23:24.792Z
44,6018fd6ef8a80c12afba2d4f,male,partofcourse,python,5,2,3,1,3,2021-02-02T07:23:24.912Z
45,6018fe8ff8a80c12afba2fa8,male,partofcourse,python,0,0,0,0,0,2021-02-02T07:26:42.396Z
46,6019000af8a80c12afba322f,male,partofcourse,python,2,2,2,4,4,2021-02-02T07:34:50.652Z
47,6018fd31f8a80c12afba2cf5,female,partofcourse,python,2,3,2,1,3,2021-02-02T07:41:11.799Z
48,6018fd31f8a80c12afba2cf5,female,partofcourse,python,2,3,2,1,3,2021-02-02T07:41:11.896Z
