,participant,qid,nr_attempts,nr_subgoals,nr_attempts_per_subgoal
0,60106245db5b643e9ca0542f,access1,19,3,6.333333333333333
1,601146dadb5b643e9ca054e5,access1,1,3,0.3333333333333333
2,601587f68a8fb97c0541f607,access1,6,3,2.0
3,60185e4ef8a80c12afba1014,access1,3,3,1.0
4,6018f3a9f8a80c12afba217e,access1,37,3,12.333333333333334
5,6018f410f8a80c12afba2194,access1,9,3,3.0
6,6018f44df8a80c12afba219c,access1,160,3,53.333333333333336
7,6018f495f8a80c12afba21aa,access1,47,3,15.666666666666666
8,6018f517f8a80c12afba21c8,access1,24,3,8.0
9,6018f56af8a80c12afba21e0,access1,1,3,0.3333333333333333
10,6018f660f8a80c12afba2217,access1,52,3,17.333333333333332
11,6018f697f8a80c12afba2235,access1,29,3,9.666666666666666
12,6018f6ebf8a80c12afba227b,access1,6,3,2.0
13,6018f6f3f8a80c12afba2286,access1,251,3,83.66666666666667
14,6018f723f8a80c12afba2369,access1,1,3,0.3333333333333333
15,6018f733f8a80c12afba2374,access1,38,3,12.666666666666666
16,6018f9d4f8a80c12afba2793,access1,51,3,17.0
17,6018fb66f8a80c12afba2a0e,access1,89,3,29.666666666666668
18,6018fd16f8a80c12afba2cd5,access1,17,3,5.666666666666667
19,6018fd31f8a80c12afba2cf5,access1,19,3,6.333333333333333
20,6018fe8ff8a80c12afba2fa8,access1,105,3,35.0
21,60190373f8a80c12afba3a90,access1,3,3,1.0
22,60190c05f8a80c12afba4a8f,access1,125,3,41.666666666666664
23,601924e3f8a80c12afba85d6,access1,16,3,5.333333333333333
24,601924edf8a80c12afba861d,access1,9,3,3.0
25,601924f2f8a80c12afba8654,access1,1,3,0.3333333333333333
26,60192506f8a80c12afba8709,access1,2,3,0.6666666666666666
27,6019252af8a80c12afba8755,access1,11,3,3.6666666666666665
28,601925c8f8a80c12afba89d6,access1,1,3,0.3333333333333333
29,601925def8a80c12afba8a6a,access1,2,3,0.6666666666666666
30,601925eff8a80c12afba8a91,access1,33,3,11.0
31,60192601f8a80c12afba8aa9,access1,6,3,2.0
32,60192610f8a80c12afba8ad7,access1,2,3,0.6666666666666666
33,6019268bf8a80c12afba8d22,access1,31,3,10.333333333333334
34,601926a6f8a80c12afba8dda,access1,6,3,2.0
35,601926c6f8a80c12afba8eaa,access1,12,3,4.0
36,6019275ff8a80c12afba906a,access1,6,3,2.0
37,60192799f8a80c12afba9199,access1,2,3,0.6666666666666666
38,601927c8f8a80c12afba9261,access1,1,3,0.3333333333333333
39,601927d2f8a80c12afba9286,access1,5,3,1.6666666666666667
40,601927dbf8a80c12afba9299,access1,1,3,0.3333333333333333
41,6019281bf8a80c12afba93fa,access1,41,3,13.666666666666666
42,601928dff8a80c12afba988d,access1,1,3,0.3333333333333333
43,601928eef8a80c12afba98e0,access1,99,3,33.0
44,60192904f8a80c12afba994e,access1,1,3,0.3333333333333333
45,6019290ff8a80c12afba996f,access1,17,3,5.666666666666667
46,60192a03f8a80c12afbaa059,access1,25,3,8.333333333333334
47,60192a0cf8a80c12afbaa0b1,access1,2,3,0.6666666666666666
48,60192a78f8a80c12afbaa48e,access1,2,3,0.6666666666666666
49,60193056f8a80c12afbad1c3,access1,4,3,1.3333333333333333
50,60193331f8a80c12afbaedd5,access1,1,3,0.3333333333333333
51,60193a1cf8a80c12afbb4284,access1,77,3,25.666666666666668
52,60194527f8a80c12afbba1bf,access1,7,3,2.3333333333333335
53,60195993f8a80c12afbc0b90,access1,85,3,28.333333333333332
54,601963bff8a80c12afbc316c,access1,1,3,0.3333333333333333
55,60196af9f8a80c12afbc4bac,access1,25,3,8.333333333333334
56,601a16cef8a80c12afbd712f,access1,19,3,6.333333333333333
57,601a3a2ef8a80c12afbda079,access1,27,3,9.0
58,601a9107f8a80c12afbdcee7,access1,48,3,16.0
59,601ad24ff8a80c12afbdde77,access1,4,3,1.3333333333333333
60,601ba4acf8a80c12afbdee12,access1,3,3,1.0
61,601beec0f8a80c12afbe12ac,access1,1,3,0.3333333333333333
62,601c0004f8a80c12afbe1803,access1,25,3,8.333333333333334
63,601c0011f8a80c12afbe180d,access1,2,3,0.6666666666666666
64,601c0016f8a80c12afbe1810,access1,6,3,2.0
65,601c0028f8a80c12afbe1819,access1,2,3,0.6666666666666666
66,601c0036f8a80c12afbe1824,access1,3,3,1.0
67,601c003af8a80c12afbe1828,access1,42,3,14.0
68,601c005ef8a80c12afbe185c,access1,4,3,1.3333333333333333
69,601c005ff8a80c12afbe185f,access1,9,3,3.0
70,601c0063f8a80c12afbe1862,access1,1,3,0.3333333333333333
71,601c009bf8a80c12afbe1896,access1,2,3,0.6666666666666666
72,601c00b3f8a80c12afbe18a3,access1,7,3,2.3333333333333335
73,601c00e0f8a80c12afbe18d7,access1,4,3,1.3333333333333333
74,601c0102f8a80c12afbe18ed,access1,6,3,2.0
75,601c0119f8a80c12afbe1910,access1,3,3,1.0
76,601c0122f8a80c12afbe192a,access1,3,3,1.0
77,601c0130f8a80c12afbe193e,access1,1,3,0.3333333333333333
78,601c013cf8a80c12afbe1953,access1,149,3,49.666666666666664
79,601c0143f8a80c12afbe1959,access1,2,3,0.6666666666666666
80,601c014cf8a80c12afbe1961,access1,2,3,0.6666666666666666
81,601c0153f8a80c12afbe196c,access1,15,3,5.0
82,601c0172f8a80c12afbe19d1,access1,9,3,3.0
83,601c0175f8a80c12afbe19d7,access1,65,3,21.666666666666668
84,601c018df8a80c12afbe19f8,access1,14,3,4.666666666666667
85,601c019af8a80c12afbe1a13,access1,4,3,1.3333333333333333
86,601c01a9f8a80c12afbe1a26,access1,2,3,0.6666666666666666
87,601c0246f8a80c12afbe1b2d,access1,4,3,1.3333333333333333
88,601c025ef8a80c12afbe1b80,access1,1,3,0.3333333333333333
89,601c0284f8a80c12afbe1c4d,access1,49,3,16.333333333333332
90,601c02a8f8a80c12afbe1c99,access1,10,3,3.3333333333333335
91,601c02c4f8a80c12afbe1d5d,access1,2,3,0.6666666666666666
92,601c030cf8a80c12afbe1e3f,access1,93,3,31.0
93,601d6caaa6af0b0a8bd1badb,access1,4,3,1.3333333333333333
94,601f3546a6af0b0a8bd1e5fd,access1,1,3,0.3333333333333333
95,6027df88a6af0b0a8bd31fcc,access1,11,3,3.6666666666666665
96,602a3ccea6af0b0a8bd3716d,access1,12,3,4.0
