,participant,qid,opcode,subgoal,correct,timestamp
0,60112d18db5b643e9ca05469,calculate1,calculate_matrices_elementwise,0,True,2021-01-27 10:17:19.946000+00:00
1,60112d18db5b643e9ca05469,calculate1,calculate_matrices_aggregation,1,True,2021-01-27 10:17:24.135000+00:00
2,60112d18db5b643e9ca05469,calculate2,calculate_dataframes_elementwise,0,False,2021-01-27 10:19:32.512000+00:00
3,60112d18db5b643e9ca05469,calculate2,calculate_vectors_pairwise,0,True,2021-01-27 10:19:56.764000+00:00
4,60112d18db5b643e9ca05469,calculate2,calculate_vectors_mask,1,False,2021-01-27 10:20:10.221000+00:00
5,60112d18db5b643e9ca05469,calculate2,calculate_matrices_mask,1,False,2021-01-27 10:20:14.398000+00:00
6,60112d18db5b643e9ca05469,calculate2,calculate_matrices_mask,1,False,2021-01-27 10:20:19.244000+00:00
7,60112d18db5b643e9ca05469,calculate2,calculate_vectors_mask,1,False,2021-01-27 10:21:35.605000+00:00
8,60112d18db5b643e9ca05469,calculate2,access_from-matrix_by-condition,1,True,2021-01-27 10:22:34.164000+00:00
9,60112d18db5b643e9ca05469,combine1,combine_dataframes_binding-vertically,0,True,2021-01-27 10:23:09.814000+00:00
10,60112d18db5b643e9ca05469,combine1,calculate_dataframes_aggregation,1,False,2021-01-27 10:23:45.997000+00:00
11,60112d18db5b643e9ca05469,combine1,calculate_dataframes_rowwise-aggregation,1,True,2021-01-27 10:23:51.824000+00:00
12,60112d18db5b643e9ca05469,restructure1,calculate_dataframes_calculating-new-column,0,True,2021-01-27 10:25:01.514000+00:00
13,60112d18db5b643e9ca05469,restructure1,restructure_dataframes_sorting-by-column,1,True,2021-01-27 10:25:16.143000+00:00
14,60112d18db5b643e9ca05469,restructure1,access_from-dataframe_row-indices-by-condition,2,False,2021-01-27 10:25:49.003000+00:00
15,60112d18db5b643e9ca05469,restructure1,access_from-dataframe_rows-or-columns-by-index,2,True,2021-01-27 10:26:06.051000+00:00
16,60112d18db5b643e9ca05469,restructure1,access_from-dataframe_column(s)-by-name,3,True,2021-01-27 10:26:27.221000+00:00
17,60112d18db5b643e9ca05469,restructure2,restructure_dataframes_pivoting-wide-to-long,0,True,2021-01-27 10:27:11.360000+00:00
18,60112d18db5b643e9ca05469,restructure2,calculate_dataframes_groupwise-aggregation,1,True,2021-01-27 10:27:25.192000+00:00
19,60114dc2db5b643e9ca054ed,create1,create_vector_from-smaller-vectors,0,True,2021-01-27 11:33:32.422000+00:00
20,60114dc2db5b643e9ca054ed,create1,create_vector_from-smaller-vectors,1,True,2021-01-27 11:33:38.525000+00:00
21,60114dc2db5b643e9ca054ed,create1,create_matrix_from-multiple-vectors,2,True,2021-01-27 11:33:52.717000+00:00
22,60114dc2db5b643e9ca054ed,create2,create_vector_arithmetic-sequence,0,True,2021-01-27 11:34:00.766000+00:00
23,60114dc2db5b643e9ca054ed,create2,create_vector_by-repeating-vectors,1,True,2021-01-27 11:34:10.206000+00:00
24,60114dc2db5b643e9ca054ed,create2,create_matrix_by-folding-a-vector,2,True,2021-01-27 11:34:25.045000+00:00
25,60114dc2db5b643e9ca054ed,create2,create_dataframe_from-a-matrix,3,True,2021-01-27 11:34:29.869000+00:00
26,60114dc2db5b643e9ca054ed,access1,access_from-matrix_rows-or-columns,0,True,2021-01-27 11:42:02.206000+00:00
27,60114dc2db5b643e9ca054ed,access1,access_from-matrix_row-and-column-combination,1,True,2021-01-27 11:42:11.206000+00:00
28,60114dc2db5b643e9ca054ed,access1,create_vector_from-smaller-vectors,2,True,2021-01-27 11:42:28.254000+00:00
29,60114dc2db5b643e9ca054ed,access2,access_from-matrix_by-condition,0,False,2021-01-27 11:42:47.894000+00:00
30,60114dc2db5b643e9ca054ed,access2,access_from-matrix_by-condition,0,False,2021-01-27 11:43:03.534000+00:00
31,60114dc2db5b643e9ca054ed,access2,access_from-matrix_rows-or-columns,0,False,2021-01-27 11:43:10.727000+00:00
32,60114dc2db5b643e9ca054ed,access2,access_from-matrix_by-mask,0,False,2021-01-27 11:43:21.406000+00:00
33,60114dc2db5b643e9ca054ed,access2,access_from-matrix_by-condition,0,False,2021-01-27 11:43:25.382000+00:00
34,60114dc2db5b643e9ca054ed,access2,access_from-matrix_rows-or-columns,1,False,2021-01-27 11:43:40.798000+00:00
35,60114dc2db5b643e9ca054ed,access2,access_from-dataframe_rows-by-condition,0,True,2021-01-27 11:44:08.262000+00:00
36,60114dc2db5b643e9ca054ed,access2,access_from-dataframe_rows-by-mask,1,False,2021-01-27 11:44:44.079000+00:00
37,60114dc2db5b643e9ca054ed,access2,access_from-dataframe_column(s)-by-name,1,True,2021-01-27 11:44:52.686000+00:00
38,60114dc2db5b643e9ca054ed,calculate1,calculate_matrices_elementwise,0,True,2021-01-27 11:50:08.359000+00:00
39,60114dc2db5b643e9ca054ed,calculate1,calculate_matrices_aggregation,1,True,2021-01-27 11:50:14.711000+00:00
40,60114dc2db5b643e9ca054ed,calculate2,calculate_matrices_mask,1,False,2021-01-27 11:50:27.127000+00:00
41,60114dc2db5b643e9ca054ed,calculate2,calculate_matrices_aggregation,0,False,2021-01-27 11:52:05.192000+00:00
42,60114dc2db5b643e9ca054ed,calculate2,calculate_matrices_elementwise,0,False,2021-01-27 11:52:08.184000+00:00
43,60114dc2db5b643e9ca054ed,calculate2,calculate_dataframes_aggregation,0,False,2021-01-27 11:52:16.952000+00:00
44,60114dc2db5b643e9ca054ed,calculate2,calculate_dataframes_elementwise,0,False,2021-01-27 11:52:27.208000+00:00
45,60114dc2db5b643e9ca054ed,calculate2,calculate_vectors_pairwise,0,True,2021-01-27 11:54:03.392000+00:00
46,60114dc2db5b643e9ca054ed,calculate2,calculate_matrices_mask,1,False,2021-01-27 11:54:21.336000+00:00
47,60114dc2db5b643e9ca054ed,calculate2,calculate_matrices_rowwise-aggregation,1,False,2021-01-27 11:55:54.760000+00:00
48,60114dc2db5b643e9ca054ed,calculate2,calculate_matrices_columnwise-aggregation,1,False,2021-01-27 11:55:57.792000+00:00
49,60114dc2db5b643e9ca054ed,calculate2,calculate_matrices_mask,1,False,2021-01-27 11:56:00.745000+00:00
50,60114dc2db5b643e9ca054ed,calculate2,calculate_dataframes_with-single-value,1,False,2021-01-27 11:56:04.976000+00:00
51,60114dc2db5b643e9ca054ed,calculate2,calculate_dataframes_elementwise,1,False,2021-01-27 11:56:07.449000+00:00
