,participant,part,enjoyment,effort,motivation,worthwhile,concent,subgoals,hints,subgoalGraphics,thumbnailGraphics,other,timestamp,harderOrEasier,future
0,60112d18db5b643e9ca05469,1,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Some graphics did not appear when reading through the different sections (I can't remember which section it was, I believe it may have been the Calculate section). However, when completing the exercises, the graphics appeared and so did the information when hovering over the graphic. This is very well put together overall and was easy to follow yet very enjoyable and informative.",2021-01-27T10:30:31.211Z,,
1,60114dc2db5b643e9ca054ed,1,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,,2021-01-27T12:08:09.406Z,,
2,601146dadb5b643e9ca054e5,1,5.0,,3.0,4.0,3.0,5.0,5.0,,5.0,"The hints were good but sometimes they were too helpful by giving the answer away too easily. It was a good and interactive exercise, I thoroughly enjoyed the subgoals and thumbnails used.",2021-01-28T12:46:28.587Z,,
3,60114dc2db5b643e9ca054ed,3,3.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,,2021-01-28T13:48:22.293Z,,
4,60114dc2db5b643e9ca054ed,3,3.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,,2021-01-28T13:49:12.065Z,,
5,601146dadb5b643e9ca054e5,2,4.0,2.0,3.0,3.0,3.0,,,,,,2021-01-28T20:52:55.136Z,,
6,601146dadb5b643e9ca054e5,2,3.0,3.0,3.0,3.0,3.0,,,,,,2021-01-28T20:53:57.267Z,,
7,601587f68a8fb97c0541f607,1,2.0,2.0,2.0,3.0,2.0,1.0,2.0,,2.0,Questions are confusing. There language is bit confusing.,2021-01-30T18:20:31.255Z,,
8,601146dadb5b643e9ca054e5,2,3.0,2.0,3.0,3.0,3.0,,,,,,2021-01-30T21:55:20.658Z,,
9,601587f68a8fb97c0541f607,3,3.0,4.0,3.0,3.0,4.0,,,,,,2021-01-31T14:27:52.595Z,,
10,60106245db5b643e9ca0542f,1,1.0,5.0,,2.0,3.0,3.0,5.0,5.0,,,2021-02-01T17:18:28.392Z,,
11,60106245db5b643e9ca0542f,2,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2021-02-01T18:20:43.807Z,,
12,60106245db5b643e9ca0542f,2,3.0,3.0,3.0,2.0,2.0,,,2.0,,,2021-02-01T18:28:16.695Z,,
13,60185e4ef8a80c12afba1014,1,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,,2021-02-01T21:27:35.52Z,,
14,6018f56af8a80c12afba21e0,1,4.0,4.0,5.0,5.0,4.0,5.0,3.0,,4.0,It felt like an interactive and interesting session. ,2021-02-02T07:53:49.161Z,,
15,6018f495f8a80c12afba21aa,1,3.0,2.0,5.0,2.0,5.0,4.0,5.0,,4.0,,2021-02-02T08:11:22.271Z,,
16,6018f8bbf8a80c12afba253f,1,5.0,2.0,5.0,5.0,5.0,4.0,5.0,,5.0,,2021-02-02T08:20:37.513Z,,
17,6018f3a9f8a80c12afba217e,1,4.0,5.0,1.0,2.0,5.0,1.0,1.0,,,,2021-02-02T08:31:52.516Z,,
18,6018f44df8a80c12afba219c,1,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,,2021-02-02T08:47:48.841Z,,
19,6018f410f8a80c12afba2194,1,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,3.0,This practice session is very enjoyable and intreseting ,2021-02-02T09:03:50.853Z,,
20,6018f4bbf8a80c12afba21b3,1,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,,2021-02-02T09:10:38.41Z,,
21,6018f660f8a80c12afba2217,2,4.0,5.0,3.0,3.0,5.0,,,,,,2021-02-02T09:13:45.03Z,,
22,6018fd16f8a80c12afba2cd5,1,2.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,,2021-02-02T09:36:32.061Z,,
23,6018f5fef8a80c12afba21ff,1,5.0,3.0,5.0,5.0,5.0,5.0,5.0,,5.0,,2021-02-02T09:36:36.952Z,,
