,_id,participant,category,startTime,endTime,duration
1,1,600ee28380d4a333d8ea2521,timeout,2021-01-25T15:30:12.119Z,2021-01-25T16:18:42.748Z,2910.6290000000004
0,0,600ee28380d4a333d8ea2521,tab,2021-01-25T16:18:41.738Z,2021-01-25T16:18:41.786Z,0.048
2,2,60106245db5b643e9ca0542f,tab,2021-01-26T18:44:38.788Z,2021-01-26T18:45:03.953Z,25.165000000000003
20,20,60106245db5b643e9ca0542f,timeout,2021-01-26T18:45:31.104Z,2021-01-26T18:53:00.83Z,449.72600000000006
3,3,60106245db5b643e9ca0542f,tab,2021-01-26T18:45:32.002Z,2021-01-26T18:53:00.276Z,448.274
4,4,60106245db5b643e9ca0542f,tab,2021-01-26T18:53:02.302Z,2021-01-26T18:53:28.513Z,26.211000000000002
39,39,60112d18db5b643e9ca05469,tab,2021-01-27T09:07:34.805Z,2021-01-27T09:07:54.36Z,19.555
40,40,60112d18db5b643e9ca05469,tab,2021-01-27T09:08:01.617Z,2021-01-27T09:08:14.154Z,12.537
41,41,60112d18db5b643e9ca05469,tab,2021-01-27T09:08:17.453Z,2021-01-27T09:08:19.185Z,1.7320000000000002
42,42,60112d18db5b643e9ca05469,tab,2021-01-27T09:10:59.99Z,2021-01-27T09:11:30.599Z,30.609
63,63,60112d18db5b643e9ca05469,timeout,2021-01-27T09:11:30.674Z,2021-01-27T09:56:38.75Z,2708.076
43,43,60112d18db5b643e9ca05469,tab,2021-01-27T09:11:31.242Z,2021-01-27T09:56:38.102Z,2706.86
64,64,60112d18db5b643e9ca05469,timeout,2021-01-27T09:59:06.647Z,2021-01-27T10:00:31.067Z,84.42
93,93,601146dadb5b643e9ca054e5,tab,2021-01-27T10:57:23.687Z,2021-01-27T10:57:44.231Z,20.544
159,159,601146dadb5b643e9ca054e5,timeout,2021-01-27T10:59:38.952Z,2021-01-27T12:22:02.519Z,4943.567
94,94,601146dadb5b643e9ca054e5,tab,2021-01-27T11:03:04.432Z,2021-01-27T12:22:02.522Z,4738.09
201,201,60114dc2db5b643e9ca054ed,timeout,2021-01-27T11:28:36.76Z,2021-01-27T11:30:58.333Z,141.573
202,202,60114dc2db5b643e9ca054ed,timeout,2021-01-27T11:35:03.573Z,2021-01-27T11:36:43.917Z,100.34400000000001
203,203,60114dc2db5b643e9ca054ed,timeout,2021-01-27T11:38:36.039Z,2021-01-27T11:39:41.657Z,65.61800000000001
204,204,60114dc2db5b643e9ca054ed,timeout,2021-01-27T11:56:59.016Z,2021-01-27T11:58:48.136Z,109.12
192,192,60114dc2db5b643e9ca054ed,tab,2021-01-27T12:12:16.95Z,2021-01-27T12:12:22.794Z,5.844
205,205,60114dc2db5b643e9ca054ed,timeout,2021-01-27T12:23:13.497Z,2021-01-27T12:24:54.632Z,101.135
206,206,60114dc2db5b643e9ca054ed,timeout,2021-01-27T12:35:05.102Z,2021-01-27T12:36:47.671Z,102.569
207,207,60114dc2db5b643e9ca054ed,timeout,2021-01-27T12:38:55.64Z,2021-01-27T12:41:15.136Z,139.496
208,208,60114dc2db5b643e9ca054ed,timeout,2021-01-27T12:45:01.161Z,2021-01-27T12:49:18.42Z,257.259
209,209,60114dc2db5b643e9ca054ed,timeout,2021-01-27T13:03:16.816Z,2021-01-27T13:05:10.249Z,113.433
210,210,60114dc2db5b643e9ca054ed,timeout,2021-01-27T15:16:41.511Z,2021-01-27T15:17:49.786Z,68.275
193,193,60114dc2db5b643e9ca054ed,tab,2021-01-27T15:18:21.585Z,2021-01-27T15:18:50.075Z,28.490000000000002
194,194,60114dc2db5b643e9ca054ed,tab,2021-01-27T15:18:51.707Z,2021-01-27T15:18:53.226Z,1.5190000000000001
211,211,60114dc2db5b643e9ca054ed,timeout,2021-01-27T15:18:53.912Z,2021-01-27T22:44:40.483Z,26746.571
