,participant,qid,startTime,endTime,duration,GT,GS,deducted,to_deduct
0,601275c1db5b643e9ca060b4,vector1,2021-01-28T08:34:16.153Z,2021-01-28T08:48:49.207Z,873.0540000000001,True,True,"[['2021-01-28T08:38:14.631Z', '2021-01-28T08:39:17.406Z'], ['2021-01-28T08:38:14.631Z', '2021-01-28T08:39:17.406Z']]",62.775
1,601275c1db5b643e9ca060b4,vector1,2021-01-28T08:34:16.153Z,2021-01-28T08:49:08.52Z,892.3670000000001,True,True,"[['2021-01-28T08:38:14.631Z', '2021-01-28T08:39:17.406Z'], ['2021-01-28T08:38:14.631Z', '2021-01-28T08:39:17.406Z']]",62.775
2,601275c1db5b643e9ca060b4,vector2,2021-01-28T09:07:29.946Z,2021-01-28T09:10:57.715Z,207.769,True,True,[],0.0
3,601275c1db5b643e9ca060b4,vector3,2021-01-28T09:11:07.242Z,2021-01-28T09:21:18.17Z,610.928,True,True,"[['2021-01-28T09:11:09.318Z', '2021-01-28T09:14:13.78Z'], ['2021-01-28T09:11:09.318Z', '2021-01-28T09:14:13.78Z']]",184.462
4,601275c1db5b643e9ca060b4,matrix1,2021-01-28T12:06:48.962Z,2021-01-28T12:12:32.672Z,343.71000000000004,True,True,"[['2021-01-28T12:06:56.198Z', '2021-01-28T12:08:28.638Z'], ['2021-01-28T12:06:56.198Z', '2021-01-28T12:08:28.638Z']]",92.44
5,601275c1db5b643e9ca060b4,dataframe7,2021-02-02T13:26:57.07Z,2021-02-02T13:30:39.103Z,222.03300000000002,True,True,[],0.0
7,60114dc2db5b643e9ca054ed,vector1,2021-01-28T10:25:26.628Z,2021-01-28T10:27:43.13Z,136.502,False,True,[],0.0
8,60114dc2db5b643e9ca054ed,vector2,2021-01-28T10:30:56.942Z,2021-01-28T10:33:22.845Z,145.90300000000002,False,True,[],0.0
9,60114dc2db5b643e9ca054ed,vector3,2021-01-28T10:33:34.233Z,2021-01-28T10:42:07.434Z,513.201,False,True,[],0.0
10,60114dc2db5b643e9ca054ed,vector_test,2021-01-28T10:43:34.233Z,2021-01-28T10:51:51.062Z,496.829,False,True,[],0.0
11,60114dc2db5b643e9ca054ed,matrix1,2021-01-28T11:03:18.367Z,2021-01-28T11:03:50.56Z,32.193000000000005,False,True,[],0.0
12,60114dc2db5b643e9ca054ed,matrix2,2021-01-28T11:19:57.746Z,2021-01-28T11:21:56.837Z,119.09100000000001,False,True,"[['2021-01-28T11:20:13.768Z', '2021-01-28T11:21:41.153Z'], ['2021-01-28T11:20:13.768Z', '2021-01-28T11:21:41.153Z']]",87.385
13,60114dc2db5b643e9ca054ed,matrix3,2021-01-28T11:30:00.086Z,2021-01-28T11:32:29.296Z,149.21,False,True,[],0.0
14,60114dc2db5b643e9ca054ed,matrix4,2021-01-28T11:37:52.586Z,2021-01-28T11:39:03.798Z,71.212,False,True,[],0.0
15,60114dc2db5b643e9ca054ed,matrix5,2021-01-28T11:58:50.089Z,2021-01-28T11:58:56.964Z,6.875,False,True,[],0.0
16,60114dc2db5b643e9ca054ed,matrix_test,2021-01-28T12:30:16.928Z,2021-01-28T12:35:06.673Z,289.745,False,True,[],0.0
17,60114dc2db5b643e9ca054ed,dataframe1,2021-01-28T12:42:37.87Z,2021-01-28T12:42:48.026Z,10.156,False,True,[],0.0
18,60114dc2db5b643e9ca054ed,dataframe2,2021-01-28T12:56:24.76Z,2021-01-28T12:56:31.083Z,6.323,False,True,[],0.0
19,60114dc2db5b643e9ca054ed,dataframe3,2021-01-28T12:56:34.895Z,2021-01-28T13:02:44.426Z,369.531,False,True,"[['2021-01-28T12:58:16.242Z', '2021-01-28T12:59:57.818Z'], ['2021-01-28T12:58:16.242Z', '2021-01-28T12:59:57.818Z']]",101.576
20,60114dc2db5b643e9ca054ed,dataframe4,2021-01-28T13:19:47.534Z,2021-01-28T13:19:54.12Z,6.586,False,True,[],0.0
21,60114dc2db5b643e9ca054ed,dataframe5,2021-01-28T13:23:26.107Z,2021-01-28T13:23:32.437Z,6.33,False,True,[],0.0
22,60114dc2db5b643e9ca054ed,dataframe6,2021-01-28T13:28:42.347Z,2021-01-28T13:28:52.144Z,9.797,False,True,[],0.0
23,60114dc2db5b643e9ca054ed,dataframe7,2021-01-28T13:34:38.781Z,2021-01-28T13:34:45.391Z,6.61,False,True,[],0.0
24,60114dc2db5b643e9ca054ed,dataframe_test,2021-01-28T13:44:38.772Z,2021-01-28T13:47:42.057Z,183.28500000000003,False,True,[],0.0
39,601146dadb5b643e9ca054e5,vector1,2021-01-28T21:43:03.554Z,2021-01-28T21:44:53.003Z,109.44900000000001,True,False,[],0.0
40,601146dadb5b643e9ca054e5,vector2,2021-01-28T21:45:08.991Z,2021-01-28T21:48:16.069Z,187.078,True,False,[],0.0
41,601146dadb5b643e9ca054e5,vector3,2021-01-28T21:48:19.45Z,2021-01-28T21:58:43.69Z,624.24,True,False,"[['2021-01-28T21:48:20.556Z', '2021-01-28T21:48:35.635Z'], ['2021-01-28T21:48:20.556Z', '2021-01-28T21:48:35.635Z']]",15.079
43,601146dadb5b643e9ca054e5,vector_test,2021-01-30T21:55:21.915Z,2021-01-30T22:04:36.259Z,554.344,True,False,"[['2021-01-30T21:55:26.329Z', '2021-01-30T21:55:34.286Z'], ['2021-01-30T21:55:26.329Z', '2021-01-30T21:55:34.286Z']]",7.957
44,601146dadb5b643e9ca054e5,matrix1,2021-01-30T22:21:33.032Z,2021-01-30T22:25:44.01Z,250.978,True,False,[],0.0
45,601146dadb5b643e9ca054e5,matrix2,2021-01-30T22:25:45.966Z,2021-01-30T22:35:41.837Z,595.871,True,False,[],0.0
46,601146dadb5b643e9ca054e5,matrix3,2021-02-01T20:16:22.418Z,2021-02-01T20:25:11.644Z,529.226,True,False,"[['2021-02-01T20:16:42.767Z', '2021-02-01T20:18:11.236Z'], ['2021-02-01T20:16:43.154Z', '2021-02-01T20:16:43.154Z'], ['2021-02-01T20:16:42.767Z', '2021-02-01T20:18:11.236Z'], ['2021-02-01T20:16:43.154Z', '2021-02-01T20:18:10.669Z']]",88.469
47,601146dadb5b643e9ca054e5,matrix4,2021-02-01T20:36:18.809Z,2021-02-01T20:39:01.77Z,162.961,True,False,[],0.0
48,601146dadb5b643e9ca054e5,matrix5,2021-02-01T21:48:01.172Z,2021-02-01T22:04:05.15Z,963.9780000000001,True,False,"[['2021-02-01T21:48:37.465Z', '2021-02-01T21:54:20.512Z'], ['2021-02-01T21:54:20.512Z', '2021-02-01T21:54:20.523Z'], ['2021-02-01T21:48:37.465Z', '2021-02-01T21:54:20.512Z'], ['2021-02-01T21:52:22.663Z', '2021-02-01T21:54:20.523Z']]",343.05800000000005
49,601146dadb5b643e9ca054e5,matrix_test,2021-02-01T22:16:23.062Z,2021-02-01T22:21:39.436Z,316.374,True,False,[],0.0
50,601146dadb5b643e9ca054e5,dataframe1,2021-02-01T22:21:41.024Z,2021-02-01T22:25:31.729Z,230.705,True,False,[],0.0
51,601146dadb5b643e9ca054e5,dataframe2,2021-02-01T22:25:34.337Z,2021-02-01T22:31:46.396Z,372.059,True,False,[],0.0
52,601146dadb5b643e9ca054e5,dataframe3,2021-02-01T22:31:47.414Z,2021-02-01T22:42:51.229Z,663.815,True,False,[],0.0
53,601146dadb5b643e9ca054e5,dataframe4,2021-02-01T22:48:01.44Z,2021-02-01T22:56:24.975Z,503.535,True,False,[],0.0
54,601146dadb5b643e9ca054e5,dataframe5,2021-02-01T23:04:25.08Z,2021-02-01T23:09:13.265Z,288.185,True,False,[],0.0
55,601587f68a8fb97c0541f607,vector1,2021-01-31T10:45:17.222Z,2021-01-31T10:50:13.874Z,296.65200000000004,False,False,[],0.0
