,GT,GS,language,demo,pretest,pretest_score,part1,part1_current,part2,part2_current,part3,part3_current,participant
2,False,True,python,1.0,1.0,,{'$date': '2021-02-01T17:18:29.308Z'},,{'$date': '2021-02-01T18:28:17.783Z'},dataframe0,,vector3,60106245db5b643e9ca0542f
3,False,False,r,1.0,1.0,,,/part1/create_vector,,,,,6010ea6bdb5b643e9ca05461
4,True,True,python,1.0,1.0,,{'$date': '2021-01-27T10:30:30.892Z'},,{'$date': '2021-02-20T00:43:06.459Z'},dataframe0,,vector3,60112d18db5b643e9ca05469
5,True,False,python,1.0,1.0,,{'$date': '2021-01-28T12:46:28.244Z'},,{'$date': '2021-01-30T21:55:19.748Z'},dataframe0,,dataframe6,601146dadb5b643e9ca054e5
6,False,True,python,1.0,1.0,,{'$date': '2021-01-27T12:08:09.294Z'},,,dataframe0,{'$date': '2021-01-28T13:49:11.946Z'},dataframe_test,60114dc2db5b643e9ca054ed
7,False,False,python,1.0,1.0,,,/part1/create,,,,,6011a3fedb5b643e9ca06099
8,True,True,python,1.0,1.0,,,/part1ex/create2,,scrip1,,dataframe_test,601275c1db5b643e9ca060b4
9,True,False,python,1.0,1.0,,,/part1/access_from-vector_by-index,,,,,60129cbddb5b643e9ca06877
10,False,True,python,1.0,1.0,,{'$date': '2021-02-05T13:09:55.625Z'},,{'$date': '2021-02-10T17:29:42.092Z'},dataframe0,,vector_test,6014329e8a8fb97c0541f5d3
11,False,False,python,1.0,1.0,,{'$date': '2021-01-30T18:20:30.658Z'},,,,{'$date': '2021-01-31T14:27:52.713Z'},dataframe_test,601587f68a8fb97c0541f607
12,True,True,,,,,,/part1/create,,,,,6017fa038a8fb97c05420409
14,False,True,python,1.0,1.0,,{'$date': '2021-02-01T21:27:34.681Z'},,{'$date': '2021-02-13T15:15:29.673Z'},dataframe0,{'$date': '2021-02-16T18:15:14.821Z'},dataframe_test,60185e4ef8a80c12afba1014
18,False,True,python,1.0,1.0,,{'$date': '2021-02-02T08:31:50.954Z'},,{'$date': '2021-02-02T12:00:48.187Z'},dataframe0,{'$date': '2021-02-02T20:25:47.353Z'},dataframe_test,6018f3a9f8a80c12afba217e
19,False,False,python,1.0,1.0,,,/part1/create,{'$date': '2021-02-02T11:59:31.513Z'},dataframe0,{'$date': '2021-02-02T20:21:39.271Z'},dataframe_test,6018f3b6f8a80c12afba2184
20,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:50:05.553Z'},,{'$date': '2021-02-02T13:27:29.19Z'},dataframe0,{'$date': '2021-02-02T15:42:07.304Z'},dataframe_test,6018f3bcf8a80c12afba2189
21,True,False,python,1.0,1.0,,{'$date': '2021-02-02T09:03:48.358Z'},,{'$date': '2021-02-02T12:48:50.785Z'},dataframe0,{'$date': '2021-02-02T19:10:22.669Z'},dataframe_test,6018f410f8a80c12afba2194
22,False,True,python,1.0,1.0,,{'$date': '2021-02-02T08:47:47.885Z'},,{'$date': '2021-02-02T13:43:28.491Z'},dataframe0,{'$date': '2021-02-02T19:17:09.05Z'},dataframe_test,6018f44df8a80c12afba219c
23,False,False,python,1.0,1.0,,{'$date': '2021-02-02T08:11:22.254Z'},,{'$date': '2021-02-02T10:26:23.337Z'},dataframe0,{'$date': '2021-02-02T14:07:52.451Z'},dataframe_test,6018f495f8a80c12afba21aa
24,True,True,python,1.0,1.0,,{'$date': '2021-02-02T09:10:37.457Z'},,{'$date': '2021-02-03T14:27:15.878Z'},dataframe0,{'$date': '2021-02-03T16:07:31.115Z'},dataframe_test,6018f4bbf8a80c12afba21b3
25,True,False,python,1.0,1.0,,,/part1/create,{'$date': '2021-02-09T03:04:59.353Z'},dataframe0,,dataframe5,6018f4c5f8a80c12afba21b9
26,False,True,python,1.0,1.0,,{'$date': '2021-02-02T22:37:37.394Z'},,{'$date': '2021-02-03T02:37:50.352Z'},dataframe0,{'$date': '2021-02-03T08:33:19.32Z'},dataframe_test,6018f517f8a80c12afba21c8
27,False,False,python,1.0,1.0,,{'$date': '2021-02-02T07:53:48.425Z'},,{'$date': '2021-02-02T11:06:13.33Z'},dataframe0,{'$date': '2021-02-02T14:29:51.708Z'},dataframe_test,6018f56af8a80c12afba21e0
28,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:50:56.982Z'},,{'$date': '2021-02-03T00:16:04.939Z'},dataframe0,{'$date': '2021-02-03T05:58:09.016Z'},dataframe_test,6018f5a0f8a80c12afba21ec
29,True,False,python,1.0,1.0,,{'$date': '2021-02-02T09:36:35.405Z'},,{'$date': '2021-02-02T12:10:45.696Z'},dataframe0,{'$date': '2021-02-02T19:12:35.046Z'},dataframe_test,6018f5fef8a80c12afba21ff
30,False,True,python,1.0,1.0,,{'$date': '2021-02-02T09:50:48.583Z'},,{'$date': '2021-02-02T11:14:07.586Z'},dataframe0,,dataframe_test,6018f5fff8a80c12afba2201
31,False,False,python,1.0,1.0,,{'$date': '2021-02-02T12:24:12.614Z'},,{'$date': '2021-02-02T09:13:43.968Z'},dataframe0,{'$date': '2021-02-02T12:52:46.686Z'},dataframe_test,6018f660f8a80c12afba2217
32,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:04:24.341Z'},/part1ex/restructure1,{'$date': '2021-02-02T12:59:21.462Z'},dataframe0,{'$date': '2021-02-02T18:12:13.41Z'},dataframe_test,6018f697f8a80c12afba2235
33,True,False,python,1.0,1.0,,,/part1/create,,logical1,,,6018f6a1f8a80c12afba223b
34,False,True,python,1.0,1.0,,{'$date': '2021-02-02T20:31:29.062Z'},,{'$date': '2021-02-03T03:10:34.389Z'},dataframe0,{'$date': '2021-02-03T17:23:08.308Z'},dataframe_test,6018f6ebf8a80c12afba227b
35,False,False,python,1.0,1.0,,{'$date': '2021-02-02T18:24:57.013Z'},,{'$date': '2021-02-03T05:14:02.673Z'},dataframe0,{'$date': '2021-02-03T10:46:03.2Z'},dataframe_test,6018f6f3f8a80c12afba2286
36,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:02:43.878Z'},,{'$date': '2021-02-02T13:27:01.816Z'},dataframe0,{'$date': '2021-02-03T05:10:24.018Z'},dataframe_test,6018f723f8a80c12afba2369
37,True,False,python,1.0,1.0,,{'$date': '2021-02-03T18:33:24.741Z'},,{'$date': '2021-02-04T12:39:35.472Z'},dataframe0,{'$date': '2021-02-05T10:55:04.184Z'},dataframe_test,6018f733f8a80c12afba2374
38,False,True,python,1.0,1.0,,{'$date': '2021-02-02T11:21:33.096Z'},,{'$date': '2021-02-02T12:42:57.369Z'},dataframe0,{'$date': '2021-02-02T18:14:32.696Z'},dataframe_test,6018f7b8f8a80c12afba2403
39,False,False,python,1.0,1.0,,,/part1/create,,,,,6018f7bbf8a80c12afba2406
40,True,True,,,,,,/part1/create,,,,,6018f83cf8a80c12afba24a8
41,True,False,python,1.0,1.0,,{'$date': '2021-02-02T08:20:36.095Z'},,{'$date': '2021-02-02T10:45:59.965Z'},dataframe0,{'$date': '2021-02-02T18:17:40.737Z'},dataframe_test,6018f8bbf8a80c12afba253f
42,False,True,,,,,,/part1/create,,,,,6018f8d3f8a80c12afba255c
43,False,False,python,1.0,1.0,,{'$date': '2021-02-02T10:43:17.937Z'},,,dataframe0,,,6018f9d4f8a80c12afba2793
44,True,True,python,1.0,1.0,,,/part1/create,,dataframe0,,,6018fb2ef8a80c12afba2993
45,True,False,python,1.0,1.0,,{'$date': '2021-02-06T06:48:30.768Z'},,{'$date': '2021-02-06T07:21:52.62Z'},dataframe0,{'$date': '2021-02-06T08:11:43.718Z'},dataframe_test,6018fb66f8a80c12afba2a0e
46,False,True,python,1.0,1.0,,{'$date': '2021-02-02T09:36:29.934Z'},,{'$date': '2021-02-02T12:53:40.2Z'},dataframe0,{'$date': '2021-02-02T15:58:43.984Z'},dataframe_test,6018fd16f8a80c12afba2cd5
47,False,False,python,1.0,1.0,,{'$date': '2021-02-02T11:03:53.72Z'},,{'$date': '2021-02-02T14:12:01.983Z'},dataframe0,{'$date': '2021-02-02T17:31:59.598Z'},dataframe_test,6018fd31f8a80c12afba2cf5
48,True,True,python,1.0,1.0,,,/part1/create,,,,,6018fd6ef8a80c12afba2d4f
49,True,False,python,1.0,1.0,,{'$date': '2021-02-02T11:12:30.874Z'},,{'$date': '2021-02-05T17:38:16.395Z'},dataframe0,{'$date': '2021-02-05T18:34:42.055Z'},dataframe_test,6018fe8ff8a80c12afba2fa8
50,False,True,python,1.0,,,,/part1/create,,,,,6019000af8a80c12afba322f
51,False,False,python,1.0,1.0,,,/part1/create,,,,,60190285f8a80c12afba38a3
52,True,True,python,1.0,1.0,,{'$date': '2021-02-02T10:49:28.458Z'},,{'$date': '2021-02-02T14:08:39.748Z'},dataframe0,{'$date': '2021-02-02T17:57:15.599Z'},dataframe_test,60190373f8a80c12afba3a90
53,True,False,python,1.0,1.0,,{'$date': '2021-02-02T16:26:36.315Z'},,{'$date': '2021-02-03T05:00:07.041Z'},dataframe0,{'$date': '2021-02-03T14:44:01.154Z'},dataframe_test,60190c05f8a80c12afba4a8f
54,False,True,python,1.0,1.0,,,/part1/create,,,,,6019105cf8a80c12afba53d7
55,False,False,python,1.0,1.0,,,/part1/create,,,,,6019112df8a80c12afba553a
56,True,True,python,1.0,1.0,,{'$date': '2021-02-02T08:46:42.104Z'},,{'$date': '2021-02-02T14:16:43.478Z'},dataframe0,{'$date': '2021-02-03T03:53:14.505Z'},dataframe_test,60191b2af8a80c12afba6602
57,True,False,python,1.0,1.0,,,/part1/create,,,,,60191b55f8a80c12afba6660
58,False,True,,,,,,/part1/create,,,,,601922c4f8a80c12afba7d7b
59,False,False,python,1.0,1.0,,,/part1/create,,,,,6019238ff8a80c12afba7fc0
60,True,True,python,1.0,1.0,,{'$date': '2021-02-02T10:40:26.326Z'},,{'$date': '2021-02-02T11:22:41.143Z'},dataframe0,,matrix3,6019249ff8a80c12afba840b
61,True,False,python,1.0,1.0,,,/part1/create,,,,,601924caf8a80c12afba853f
62,False,True,python,1.0,1.0,,{'$date': '2021-02-02T11:11:33.428Z'},,,,,,601924e3f8a80c12afba85d6
63,False,False,python,1.0,1.0,,{'$date': '2021-02-02T11:07:40.226Z'},,,scrip1,,,601924edf8a80c12afba861d
64,True,True,python,1.0,1.0,,,/part1ex/calculate1,,,,,601924f2f8a80c12afba8654
65,True,False,python,1.0,1.0,,{'$date': '2021-02-02T10:58:17.164Z'},,,scrip1,,,60192506f8a80c12afba8709
66,False,True,python,1.0,1.0,,{'$date': '2021-02-02T10:41:44.792Z'},,,access1,,,6019252af8a80c12afba8755
67,False,False,python,1.0,1.0,,,/part1/create,,vector0,,,60192531f8a80c12afba8766
68,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:10:31.389Z'},,,logical1,,,60192582f8a80c12afba892c
69,True,False,python,1.0,1.0,,{'$date': '2021-02-02T11:18:45.025Z'},,{'$date': '2021-02-20T03:57:44.691Z'},dataframe0,,vector3,601925c8f8a80c12afba89d6
70,False,True,python,1.0,1.0,,{'$date': '2021-02-02T11:39:01.664Z'},,{'$date': '2021-02-13T19:04:12.987Z'},dataframe0,{'$date': '2021-02-13T20:53:26.196Z'},dataframe_test,601925def8a80c12afba8a6a
71,False,False,python,1.0,1.0,,{'$date': '2021-02-02T11:05:15.795Z'},,,,,,601925eff8a80c12afba8a91
72,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:00:53.364Z'},,{'$date': '2021-02-12T22:47:07.241Z'},dataframe0,{'$date': '2021-02-13T12:09:33.262Z'},dataframe_test,60192601f8a80c12afba8aa9
73,True,True,python,1.0,1.0,,,/part1ex/create1,,,,,60192601f8a80c12afba8aaa
74,False,True,python,1.0,1.0,,{'$date': '2021-02-02T11:21:10.844Z'},,,dataframe0,,,60192610f8a80c12afba8ad7
75,False,False,,,,,,/part1/create,,,,,60192666f8a80c12afba8c81
76,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:02:10.677Z'},,,,,,6019268bf8a80c12afba8d22
77,True,False,python,1.0,1.0,,{'$date': '2021-02-02T11:46:12.056Z'},,{'$date': '2021-02-10T16:33:55.653Z'},dataframe0,{'$date': '2021-02-25T16:21:14.797Z'},dataframe_test,601926a6f8a80c12afba8dda
80,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:00:54.48Z'},,,functions1,,,601926c6f8a80c12afba8eaa
81,True,False,python,1.0,1.0,,{'$date': '2021-02-02T12:58:19.003Z'},,{'$date': '2021-02-02T20:02:16.741Z'},dataframe0,{'$date': '2021-02-03T04:31:22.341Z'},dataframe_test,6019275ff8a80c12afba906a
82,False,True,r,1.0,1.0,,{'$date': '2021-02-02T10:57:38.979Z'},,,logical1,,,60192799f8a80c12afba9199
83,False,False,python,1.0,1.0,,{'$date': '2021-02-02T11:13:58.691Z'},,{'$date': '2021-02-02T17:01:24.063Z'},dataframe0,,,601927c8f8a80c12afba9261
84,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:08:52.711Z'},,,scalar1,,,601927cbf8a80c12afba9277
85,True,False,python,1.0,1.0,,{'$date': '2021-02-02T10:46:25.152Z'},,{'$date': '2021-02-02T12:10:24.303Z'},dataframe0,{'$date': '2021-02-02T12:27:26.365Z'},dataframe_test,601927d2f8a80c12afba9286
86,False,True,python,1.0,1.0,,{'$date': '2021-02-02T11:28:56.003Z'},,,vector0,,,601927dbf8a80c12afba9299
87,False,False,python,1.0,1.0,,{'$date': '2021-02-02T11:11:21.298Z'},,,scalar1,,,6019281bf8a80c12afba93fa
88,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:03:51.147Z'},,{'$date': '2021-02-02T17:03:56.499Z'},dataframe0,,matrix2,60192845f8a80c12afba9525
89,True,False,python,1.0,1.0,,,/part1/create_vector,,scrip1,,matrix2,60192885f8a80c12afba9672
90,False,True,python,1.0,1.0,,{'$date': '2021-02-02T11:07:16.151Z'},,{'$date': '2021-02-02T11:47:37.278Z'},dataframe0,{'$date': '2021-02-09T18:24:06.911Z'},dataframe_test,601928dff8a80c12afba988d
91,False,False,python,1.0,1.0,,{'$date': '2021-02-02T11:08:07.956Z'},/part1/create_matrix,,access1,,,601928eef8a80c12afba98e0
92,True,True,python,1.0,1.0,,,/part1ex/calculate2,,,,,60192904f8a80c12afba994e
93,True,False,python,1.0,1.0,,{'$date': '2021-02-07T19:38:30.213Z'},,{'$date': '2021-02-08T10:23:16.426Z'},dataframe0,{'$date': '2021-02-08T14:45:20.638Z'},dataframe_test,6019290ff8a80c12afba996f
94,False,True,python,1.0,1.0,,{'$date': '2021-02-02T11:19:14.736Z'},,{'$date': '2021-02-02T20:15:50.201Z'},dataframe0,,,6019291bf8a80c12afba99cf
95,False,False,python,1.0,1.0,,,/part1ex/create1,,,,,60192a03f8a80c12afbaa059
96,True,True,python,1.0,1.0,,{'$date': '2021-02-02T11:19:16.012Z'},,,access1,,,60192a0cf8a80c12afbaa0b1
97,True,False,python,1.0,1.0,,{'$date': '2021-02-02T11:47:12.005Z'},,,functions1,,,60192a78f8a80c12afbaa48e
98,False,True,python,1.0,1.0,,,/part1/calculate_matrices_with-single-value,,,,,60193056f8a80c12afbad1c3
99,False,False,python,1.0,1.0,,{'$date': '2021-02-08T06:06:28.57Z'},,{'$date': '2021-03-30T12:10:33.69Z'},dataframe0,,,60193331f8a80c12afbaedd5
100,True,True,python,1.0,1.0,,,/part1/create_matrix_by-folding-a-vector,,,,,601933bcf8a80c12afbaf2c7
101,True,False,python,1.0,1.0,,{'$date': '2021-02-02T13:02:46.202Z'},,{'$date': '2021-02-02T16:03:15.085Z'},dataframe0,{'$date': '2021-02-02T18:40:21.059Z'},dataframe_test,60193a1cf8a80c12afbb4284
102,False,True,python,1.0,1.0,,,/part1/create_vector,,,,,60193afaf8a80c12afbb512d
103,False,False,python,1.0,1.0,,,/part1/create,,,,,60193c10f8a80c12afbb6286
104,True,True,python,1.0,1.0,,,/part1ex/create1,,,,,60193eb6f8a80c12afbb727e
105,True,False,python,1.0,1.0,,{'$date': '2021-02-02T13:53:45.347Z'},,{'$date': '2021-02-02T18:20:47.744Z'},dataframe0,{'$date': '2021-02-04T04:39:47.095Z'},dataframe_test,60194527f8a80c12afbba1bf
106,False,True,python,1.0,1.0,,,/part1/create,,,,vector2,6019525cf8a80c12afbbe535
