,score,qid,participant,index
0,1.0,vector2,601275c1db5b643e9ca060b4,0
1,1.0,vector2,601275c1db5b643e9ca060b4,1
2,1.0,vector3,601275c1db5b643e9ca060b4,0
3,1.0,vector3,601275c1db5b643e9ca060b4,1
4,1.0,vector3,601275c1db5b643e9ca060b4,2
5,,vector_test,601275c1db5b643e9ca060b4,0
6,,vector_test,601275c1db5b643e9ca060b4,1
7,,vector_test,601275c1db5b643e9ca060b4,2
8,,matrix1,601275c1db5b643e9ca060b4,0
9,,matrix1,601275c1db5b643e9ca060b4,1
10,,matrix1,601275c1db5b643e9ca060b4,2
11,,vector_test,601275c1db5b643e9ca060b4,0
12,,vector_test,601275c1db5b643e9ca060b4,1
13,,vector_test,601275c1db5b643e9ca060b4,2
14,1.0,matrix1,601275c1db5b643e9ca060b4,0
15,1.0,matrix1,601275c1db5b643e9ca060b4,1
16,1.0,matrix1,601275c1db5b643e9ca060b4,2
17,,matrix2,601275c1db5b643e9ca060b4,0
18,,matrix2,601275c1db5b643e9ca060b4,1
19,,matrix2,601275c1db5b643e9ca060b4,2
20,,matrix2,601275c1db5b643e9ca060b4,3
21,,matrix3,601275c1db5b643e9ca060b4,0
22,,matrix3,601275c1db5b643e9ca060b4,1
23,,matrix3,601275c1db5b643e9ca060b4,2
24,,matrix3,601275c1db5b643e9ca060b4,3
25,,matrix2,601275c1db5b643e9ca060b4,0
26,,matrix2,601275c1db5b643e9ca060b4,1
27,,matrix2,601275c1db5b643e9ca060b4,2
28,,matrix2,601275c1db5b643e9ca060b4,3
29,,matrix3,601275c1db5b643e9ca060b4,0
30,,matrix3,601275c1db5b643e9ca060b4,1
31,,matrix3,601275c1db5b643e9ca060b4,2
32,,matrix3,601275c1db5b643e9ca060b4,3
33,,matrix4,601275c1db5b643e9ca060b4,0
34,,matrix4,601275c1db5b643e9ca060b4,1
35,,matrix4,601275c1db5b643e9ca060b4,2
36,,matrix4,601275c1db5b643e9ca060b4,3
37,,vector1,601275c1db5b643e9ca060b4,0
38,,vector1,601275c1db5b643e9ca060b4,1
39,,vector1,601275c1db5b643e9ca060b4,2
40,,vector2,601275c1db5b643e9ca060b4,0
41,,vector2,601275c1db5b643e9ca060b4,1
42,,vector3,601275c1db5b643e9ca060b4,0
43,,vector3,601275c1db5b643e9ca060b4,1
44,,vector3,601275c1db5b643e9ca060b4,2
45,,vector1,601275c1db5b643e9ca060b4,0
46,,vector1,601275c1db5b643e9ca060b4,1
47,,vector1,601275c1db5b643e9ca060b4,2
48,,vector2,601275c1db5b643e9ca060b4,0
49,,vector2,601275c1db5b643e9ca060b4,1
50,,vector3,601275c1db5b643e9ca060b4,0
51,,vector3,601275c1db5b643e9ca060b4,1
52,,vector3,601275c1db5b643e9ca060b4,2
53,,vector1,601275c1db5b643e9ca060b4,0
54,,vector1,601275c1db5b643e9ca060b4,1
55,,vector1,601275c1db5b643e9ca060b4,2
56,,matrix1,601275c1db5b643e9ca060b4,0
57,,matrix1,601275c1db5b643e9ca060b4,1
58,,matrix1,601275c1db5b643e9ca060b4,2
59,,matrix2,601275c1db5b643e9ca060b4,0
60,,matrix2,601275c1db5b643e9ca060b4,1
61,,matrix2,601275c1db5b643e9ca060b4,2
62,,matrix2,601275c1db5b643e9ca060b4,3
63,,matrix3,601275c1db5b643e9ca060b4,0
64,,matrix3,601275c1db5b643e9ca060b4,1
65,,matrix3,601275c1db5b643e9ca060b4,2
66,,matrix3,601275c1db5b643e9ca060b4,3
67,,matrix4,601275c1db5b643e9ca060b4,0
68,,matrix4,601275c1db5b643e9ca060b4,1
69,,matrix4,601275c1db5b643e9ca060b4,2
70,,matrix4,601275c1db5b643e9ca060b4,3
71,,matrix5,601275c1db5b643e9ca060b4,0
72,,matrix5,601275c1db5b643e9ca060b4,1
73,,matrix5,601275c1db5b643e9ca060b4,2
74,,matrix5,601275c1db5b643e9ca060b4,3
75,,vector1,601275c1db5b643e9ca060b4,0
76,,vector1,601275c1db5b643e9ca060b4,1
77,,vector1,601275c1db5b643e9ca060b4,2
78,,matrix5,601275c1db5b643e9ca060b4,0
79,,matrix5,601275c1db5b643e9ca060b4,1
80,,matrix5,601275c1db5b643e9ca060b4,2
81,,matrix5,601275c1db5b643e9ca060b4,3
82,,vector1,601275c1db5b643e9ca060b4,0
83,,vector1,601275c1db5b643e9ca060b4,1
84,,vector1,601275c1db5b643e9ca060b4,2
85,,dataframe1,601275c1db5b643e9ca060b4,0
86,,dataframe1,601275c1db5b643e9ca060b4,1
87,,dataframe2,601275c1db5b643e9ca060b4,0
88,,dataframe2,601275c1db5b643e9ca060b4,1
89,,dataframe3,601275c1db5b643e9ca060b4,0
90,,dataframe3,601275c1db5b643e9ca060b4,1
91,,dataframe3,601275c1db5b643e9ca060b4,2
92,,dataframe4,601275c1db5b643e9ca060b4,0
93,,dataframe4,601275c1db5b643e9ca060b4,1
94,,dataframe4,601275c1db5b643e9ca060b4,2
95,,dataframe4,601275c1db5b643e9ca060b4,3
96,,dataframe5,601275c1db5b643e9ca060b4,0
97,,dataframe5,601275c1db5b643e9ca060b4,1
98,,dataframe5,601275c1db5b643e9ca060b4,2
99,,dataframe5,601275c1db5b643e9ca060b4,3
100,,dataframe6,601275c1db5b643e9ca060b4,0
101,,dataframe6,601275c1db5b643e9ca060b4,1
102,,dataframe6,601275c1db5b643e9ca060b4,2
103,,dataframe6,601275c1db5b643e9ca060b4,3
104,,dataframe6,601275c1db5b643e9ca060b4,4
105,,dataframe7,601275c1db5b643e9ca060b4,0
106,,dataframe7,601275c1db5b643e9ca060b4,1
107,,dataframe7,601275c1db5b643e9ca060b4,2
108,,dataframe7,601275c1db5b643e9ca060b4,3
109,,vector1,601275c1db5b643e9ca060b4,0
110,,vector1,601275c1db5b643e9ca060b4,1
111,,vector1,601275c1db5b643e9ca060b4,2
112,,vector2,601146dadb5b643e9ca054e5,0
113,,vector2,601146dadb5b643e9ca054e5,1
114,,vector3,601146dadb5b643e9ca054e5,0
115,,vector3,601146dadb5b643e9ca054e5,1
116,,vector3,601146dadb5b643e9ca054e5,2
117,,vector_test,601146dadb5b643e9ca054e5,0
118,,vector_test,601146dadb5b643e9ca054e5,1
119,,vector_test,601146dadb5b643e9ca054e5,2
120,,matrix1,601146dadb5b643e9ca054e5,0
121,,matrix1,601146dadb5b643e9ca054e5,1
122,,matrix1,601146dadb5b643e9ca054e5,2
123,,matrix2,601146dadb5b643e9ca054e5,0
124,,matrix2,601146dadb5b643e9ca054e5,1
125,,matrix2,601146dadb5b643e9ca054e5,2
126,,matrix2,601146dadb5b643e9ca054e5,3
127,,vector2,601587f68a8fb97c0541f607,0
128,,vector2,601587f68a8fb97c0541f607,1
129,,vector3,601587f68a8fb97c0541f607,0
130,,vector3,601587f68a8fb97c0541f607,1
131,,vector3,601587f68a8fb97c0541f607,2
132,,vector_test,601587f68a8fb97c0541f607,0
133,,vector_test,601587f68a8fb97c0541f607,1
134,,vector_test,601587f68a8fb97c0541f607,2
135,,matrix1,601587f68a8fb97c0541f607,0
136,,matrix1,601587f68a8fb97c0541f607,1
137,,matrix1,601587f68a8fb97c0541f607,2
138,,matrix2,601587f68a8fb97c0541f607,0
139,,matrix2,601587f68a8fb97c0541f607,1
140,,matrix2,601587f68a8fb97c0541f607,2
141,,matrix2,601587f68a8fb97c0541f607,3
142,,matrix3,601587f68a8fb97c0541f607,0
143,,matrix3,601587f68a8fb97c0541f607,1
144,,matrix3,601587f68a8fb97c0541f607,2
145,,matrix3,601587f68a8fb97c0541f607,3
146,,matrix4,601587f68a8fb97c0541f607,0
147,,matrix4,601587f68a8fb97c0541f607,1
148,,matrix4,601587f68a8fb97c0541f607,2
149,,matrix4,601587f68a8fb97c0541f607,3
150,,matrix5,601587f68a8fb97c0541f607,0
151,,matrix5,601587f68a8fb97c0541f607,1
152,,matrix5,601587f68a8fb97c0541f607,2
153,,matrix5,601587f68a8fb97c0541f607,3
154,,matrix_test,601587f68a8fb97c0541f607,0
155,,matrix_test,601587f68a8fb97c0541f607,1
156,,matrix_test,601587f68a8fb97c0541f607,2
157,,dataframe1,601587f68a8fb97c0541f607,0
158,,dataframe1,601587f68a8fb97c0541f607,1
159,,dataframe2,601587f68a8fb97c0541f607,0
160,,dataframe2,601587f68a8fb97c0541f607,1
161,,dataframe3,601587f68a8fb97c0541f607,0
162,,dataframe3,601587f68a8fb97c0541f607,1
163,,dataframe3,601587f68a8fb97c0541f607,2
164,,dataframe4,601587f68a8fb97c0541f607,0
165,,dataframe4,601587f68a8fb97c0541f607,1
166,,dataframe4,601587f68a8fb97c0541f607,2
167,,dataframe4,601587f68a8fb97c0541f607,3
168,,dataframe5,601587f68a8fb97c0541f607,0
169,,dataframe5,601587f68a8fb97c0541f607,1
170,,dataframe5,601587f68a8fb97c0541f607,2
171,,dataframe5,601587f68a8fb97c0541f607,3
172,,dataframe6,601587f68a8fb97c0541f607,0
173,,dataframe6,601587f68a8fb97c0541f607,1
174,,dataframe6,601587f68a8fb97c0541f607,2
175,,dataframe6,601587f68a8fb97c0541f607,3
176,,dataframe6,601587f68a8fb97c0541f607,4
177,,dataframe7,601587f68a8fb97c0541f607,0
178,,dataframe7,601587f68a8fb97c0541f607,1
179,,dataframe7,601587f68a8fb97c0541f607,2
180,,dataframe7,601587f68a8fb97c0541f607,3
181,,vector2,60106245db5b643e9ca0542f,0
182,,vector2,60106245db5b643e9ca0542f,1
183,,matrix3,601146dadb5b643e9ca054e5,0
184,,matrix3,601146dadb5b643e9ca054e5,1
